,Number_filters,Filter_size,Number_deepNeurons,AUROC
1714,8,1,10,0.8209919999999999
1715,8,1,10,0.9228800000000001
1716,8,1,12,0.891392
1717,8,1,12,0.9368320000000001
1718,8,1,12,0.950592
1719,8,1,14,0.910592
1720,8,1,14,0.930048
1721,8,1,14,0.913344
1722,8,1,16,0.934976
1723,8,1,16,0.872384
1724,8,1,16,0.947264
1725,8,1,18,0.875264
1726,8,1,18,0.897664
1727,8,1,18,0.9052800000000001
1728,8,2,2,0.9361919999999999
1729,8,2,2,0.949952
1730,8,2,2,0.9310080000000001
1731,8,2,4,0.9712000000000001
1732,8,2,4,0.902848
1733,8,2,4,0.957376
1734,8,2,6,0.9466880000000001
1735,8,2,6,0.927424
1736,8,2,6,0.974912
1737,8,2,8,0.9568639999999999
1738,8,2,8,0.977344
1739,8,2,8,0.955264
1740,8,2,10,0.907584
1741,8,2,10,0.9252480000000001
1742,8,2,10,0.9668479999999999
1743,8,2,12,0.975744
1744,8,2,12,0.96
1745,8,2,12,0.944832
1746,8,2,14,0.968064
1747,8,2,14,0.9301760000000001
1748,8,2,14,0.916096
1749,8,2,16,0.94432
1750,8,2,16,0.9748479999999999
1751,8,2,16,0.955328
1752,8,2,18,0.932544
1753,8,2,18,0.974912
1754,8,2,18,0.9504
1755,8,3,2,0.9747839999999999
1756,8,3,2,0.83104
1757,8,3,2,0.953152
1758,8,3,4,0.9502079999999999
1759,8,3,4,0.9754240000000001
1760,8,3,4,0.971456
1761,8,3,6,0.982272
1762,8,3,6,0.971072
1763,8,3,6,0.988032
1764,8,3,8,0.8909440000000001
1765,8,3,8,0.955584
1766,8,3,8,0.9594239999999999
1767,8,3,10,0.952
1768,8,3,10,0.9598720000000001
1769,8,3,10,0.953792
1770,8,3,12,0.958528
1771,8,3,12,0.960896
1772,8,3,12,0.96128
1773,8,3,14,0.973824
1774,8,3,14,0.992896
1775,8,3,14,0.978432
1776,8,3,16,0.991296
1777,8,3,16,0.955584
1778,8,3,16,0.9683839999999999
1779,8,3,18,0.95264
1780,8,3,18,0.938048
1781,8,3,18,0.945728
1782,8,4,2,0.9329280000000001
1783,8,4,2,0.9790719999999999
1784,8,4,2,0.9794559999999999
1785,8,4,4,0.9967999999999999
1786,8,4,4,0.9706239999999999
1787,8,4,4,0.970752
1788,8,4,6,0.993088
1789,8,4,6,0.9849600000000001
1790,8,4,6,0.977984
1791,8,4,8,0.987392
1792,8,4,8,0.9785600000000001
1793,8,4,8,0.9760639999999999
1794,8,4,10,0.950912
1795,8,4,10,0.9858560000000001
1796,8,4,10,0.962944
1797,8,4,12,0.990912
1798,8,4,12,0.965248
1799,8,4,12,0.9781759999999999
1800,8,4,14,0.993536
1801,8,4,14,0.9872000000000001
1802,8,4,14,0.9866879999999999
1803,8,4,16,0.978816
1804,8,4,16,0.99008
1805,8,4,16,0.9796480000000001
1806,8,4,18,0.9703680000000001
1807,8,4,18,0.984832
1808,8,4,18,0.9725440000000001
1809,8,5,2,0.9784320000000001
1810,8,5,2,0.9735039999999999
1811,8,5,2,0.8859520000000001
1812,8,5,4,0.975872
1813,8,5,4,0.983744
1814,8,5,4,0.957504
1815,8,5,6,0.990208
1816,8,5,6,0.9822080000000001
1817,8,5,6,0.9943040000000001
1818,8,5,8,0.963008
1819,8,5,8,0.980032
1820,8,5,8,0.934592
1821,8,5,10,0.983296
1822,8,5,10,0.984576
1823,8,5,10,0.973312
1824,8,5,12,0.9714560000000001
1825,8,5,12,0.973824
1826,8,5,12,0.9832960000000001
1827,8,5,14,0.9698559999999999
1828,8,5,14,0.9776
1829,8,5,14,0.97632
1830,8,5,16,0.9838720000000001
1831,8,5,16,0.984256
1832,8,5,16,0.978432
1833,8,5,18,0.980224
1834,8,5,18,0.989568
1835,8,5,18,0.994688
1836,8,6,2,0.9808640000000001
1837,8,6,2,0.982784
1838,8,6,2,0.990592
1839,8,6,4,0.9840639999999999
1840,8,6,4,0.967744
1841,8,6,4,0.9928960000000001
1842,8,6,6,0.995008
1843,8,6,6,0.968128
1844,8,6,6,0.9802879999999999
1845,8,6,8,0.9716480000000001
1846,8,6,8,0.982848
1847,8,6,8,0.969664
1848,8,6,10,0.979648
1849,8,6,10,0.9871359999999999
1850,8,6,10,0.9640960000000001
1851,8,6,12,0.976064
1852,8,6,12,0.9760639999999999
1853,8,6,12,0.9856640000000001
1854,8,6,14,0.974912
1855,8,6,14,0.9712639999999999
1856,8,6,14,0.980096
1857,8,6,16,0.991168
1858,8,6,16,0.9906560000000001
1859,8,6,16,0.9856
1860,8,6,18,0.986048
1861,8,6,18,0.990528
1862,8,6,18,0.9896960000000001
1863,8,7,2,0.9879040000000001
1864,8,7,2,0.990272
1865,8,7,2,0.973888
1866,8,7,4,0.98592
1867,8,7,4,0.9899519999999999
1868,8,7,4,0.881216
1869,8,7,6,0.985472
1870,8,7,6,0.992704
1871,8,7,6,0.9491200000000001
1872,8,7,8,0.9887360000000001
1873,8,7,8,0.9719679999999999
1874,8,7,8,0.98912
1875,8,7,10,0.987456
1876,8,7,10,0.9804160000000001
1877,8,7,10,0.97376
1878,8,7,12,0.9917440000000001
1879,8,7,12,0.981568
1880,8,7,12,0.99488
1881,8,7,14,0.987264
1882,8,7,14,0.990272
1883,8,7,14,0.988224
1884,8,7,16,0.9939200000000001
1885,8,7,16,0.993728
1886,8,7,16,0.975424
1887,8,7,18,0.983424
1888,8,7,18,0.993472
1889,8,7,18,0.9752320000000001
1890,8,8,2,0.9747840000000001
1891,8,8,2,0.972224
1892,8,8,2,0.9849600000000001
1893,8,8,4,0.9880960000000001
1894,8,8,4,0.977984
1895,8,8,4,0.991168
1896,8,8,6,0.987648
1897,8,8,6,0.989376
1898,8,8,6,0.974464
1899,8,8,8,0.9937280000000001
1900,8,8,8,0.9838720000000001
1901,8,8,8,0.9829760000000001
1902,8,8,10,0.98784
1903,8,8,10,0.9843839999999999
1904,8,8,10,0.98016
1905,8,8,12,0.977728
1906,8,8,12,0.9888
1907,8,8,12,0.9818239999999999
1908,8,8,14,0.9819520000000002
1909,8,8,14,0.9996799999999999
1910,8,8,14,0.9797119999999999
1911,8,8,16,0.9848319999999999
1912,8,8,16,0.9967360000000001
1913,8,8,16,0.993024
1914,8,8,18,0.98624
1915,8,8,18,0.9918080000000001
1916,8,8,18,0.996928
1917,8,9,2,0.990272
1918,8,9,2,0.9779840000000001
1919,8,9,2,0.978752
1920,8,9,4,0.9787520000000001
1921,8,9,4,0.978688
1922,8,9,4,0.9839359999999999
1923,8,9,6,0.985152
1924,8,9,6,0.980096
1925,8,9,6,0.983744
1926,8,9,8,0.991872
1927,8,9,8,0.979584
1928,8,9,8,0.9913599999999999
1929,8,9,10,0.9875200000000001
1930,8,9,10,0.9645440000000001
1931,8,9,10,0.986496
